exponent,min_runtime_old,min_runtime_new
430,7.110000296961516e-06,6.599999323952943e-06
431,7.1499998739454895e-06,6.9400011852849275e-06
432,7.869999535614625e-06,5.999998393235728e-06
433,6.529997335746884e-06,6.489997758762911e-06
434,7.010003173490986e-06,7.200000254670158e-06
435,7.530001312261447e-06,7.650000043213367e-06
436,7.950002327561378e-06,6.859998393338174e-06
437,7.470000127796084e-06,7.169997843448073e-06
438,7.720002031419426e-06,7.539998478023335e-06
439,7.819999154889956e-06,7.97999746282585e-06
440,8.23999653221108e-06,6.669997674180195e-06
441,7.059999916236848e-06,7.3500013968441635e-06
442,7.869999535614625e-06,7.189999450929463e-06
443,7.949998689582571e-06,8.030001481529325e-06
444,8.39999847812578e-06,7.480000931536779e-06
445,7.829999958630651e-06,8.240000170189887e-06
446,9.079998562810943e-06,8.688999514561146e-06
447,8.620001608505845e-06,9.00899976841174e-06
448,8.679999154992402e-06,6.2300023273564875e-06
449,6.040001608198509e-06,6.959999154787511e-06
450,6.670001312159002e-06,6.6399989009369165e-06
451,7.119997462723404e-06,7.3500013968441635e-06
452,6.93999754730612e-06,5.950001650489867e-06
453,6.67999847792089e-06,6.399997801054269e-06
454,7.819999154889956e-06,7.119997462723404e-06
455,7.799997547408566e-06,7.779999577905983e-06
456,1.5080000594025478e-05,1.3900000340072438e-05
457,1.4160003047436476e-05,1.4969999028835446e-05
458,1.47400023706723e-05,1.4029999874765053e-05
459,1.4380002539837733e-05,1.4799999917158857e-05
460,1.5249999705702066e-05,1.4149998605716974e-05
461,1.4540000847773626e-05,1.4370001736097038e-05
462,1.47400023706723e-05,1.497999983257614e-05
463,1.4329998521134257e-05,1.460000203223899e-05
464,1.4250003005145118e-05,1.2660002539632842e-05
465,1.252999936696142e-05,1.3430002582026646e-05
466,1.413000063621439e-05,1.3269996998133138e-05
467,1.3820001186104491e-05,1.2369997421046719e-05
468,1.493000308983028e-05,1.4129996998235583e-05
469,1.4640001609222963e-05,1.4629997167503461e-05
470,1.531000089016743e-05,1.4550001651514322e-05
471,1.5210000128718093e-05,1.5059998986544088e-05
472,1.5770001482451335e-05,1.3720000424655154e-05
473,1.4339999324874952e-05,1.4640001609222963e-05
474,1.4220000593923032e-05,1.387000156682916e-05
475,1.4149998605716974e-05,1.387000156682916e-05
476,1.504900137661025e-05,1.4239998563425615e-05
477,1.537999924039468e-05,1.4080000255489722e-05
478,1.5789999451953918e-05,1.5499997971346602e-05
479,1.623000207473524e-05,1.6839996533235535e-05
480,1.6759997379267588e-05,1.424999936716631e-05
481,1.2799999240087345e-05,1.3559998478740454e-05
482,1.3509998098015785e-05,1.2969998351763934e-05
483,1.4869998267386109e-05,1.4609999198000878e-05
484,1.2590000551426783e-05,1.444000008632429e-05
485,1.4490000467048958e-05,1.3649998436449096e-05
486,1.5059998986544088e-05,1.4589997590519488e-05
487,1.5680001524742693e-05,1.5580000763293356e-05
488,1.5679997886763886e-05,1.4670997188659385e-05
489,1.4508997992379591e-05,1.4099998224992305e-05
490,1.3959997886558995e-05,1.411099947290495e-05
491,1.2830998457502574e-05,1.4260000170907006e-05
492,1.6239999240497127e-05,1.5100002201506868e-05
493,7.2599978011567146e-06,8.648999937577173e-06
494,8.16000101622194e-06,7.64000287745148e-06
495,8.600000001024455e-06,8.539998816559091e-06
496,8.679999154992402e-06,6.810001650592312e-06
497,7.5499992817640305e-06,6.8400004238355905e-06
498,7.580001692986116e-06,7.239999831654131e-06
499,7.2599978011567146e-06,7.620001269970089e-06
500,7.910002750577405e-06,7.089998689480126e-06
501,7.589998858748004e-06,7.660000846954063e-06
502,8.02000067778863e-06,7.509999704780057e-06
503,7.950002327561378e-06,8.04000228527002e-06
504,8.49000207381323e-06,7.200000254670158e-06
505,7.539998478023335e-06,7.599999662488699e-06
506,7.959999493323267e-06,7.68999962019734e-06
507,8.140003046719357e-06,7.970000297063962e-06
508,8.551000064471737e-06,7.4400013545528054e-06
509,7.868999091442674e-06,7.890997949289158e-06
510,8.25999813969247e-06,7.868999091442674e-06
511,8.191000233637169e-06,8.300001354655251e-06
512,8.700000762473792e-06,5.631001840811223e-06
513,6.071000825613737e-06,6.171001587063074e-06
514,6.79999720887281e-06,6.4309970184694976e-06
515,7.079997885739431e-06,7.029000698821619e-06
516,7.779999577905983e-06,6.8400004238355905e-06
517,6.849000783404335e-06,6.680002115899697e-06
518,7.391001418000087e-06,6.479996955022216e-06
519,7.0400019467342645e-06,7.020000339252874e-06
520,7.370999810518697e-06,6.199999916134402e-06
521,6.509999366244301e-06,6.549998943228275e-06
522,6.899997970322147e-06,6.509999366244301e-06
523,6.889997166581452e-06,7.489998097298667e-06
524,7.399998139590025e-06,6.470003427239135e-06
525,6.869999197078869e-06,6.979997124290094e-06
526,7.399998139590025e-06,6.980000762268901e-06
527,7.399998139590025e-06,7.369999366346747e-06
528,8.009999874047935e-06,6.199999916134402e-06
529,6.809998012613505e-06,6.599999323952943e-06
530,7.009999535512179e-06,6.5399981394875795e-06
531,7.589998858748004e-06,7.64000287745148e-06
532,8.348997653229162e-06,6.919999577803537e-06
533,7.180002285167575e-06,7.129001460270956e-06
534,7.660000846954063e-06,7.029000698821619e-06
535,7.4310009949840605e-06,7.700000423938036e-06
536,7.889000698924065e-06,6.651000148849562e-06
537,7.2599978011567146e-06,7.779999577905983e-06
538,7.44900171412155e-06,7.020000339252874e-06
539,7.340000593103468e-06,7.599999662488699e-06
540,8.079998224275187e-06,7.108999852789566e-06
541,7.5600000855047256e-06,7.529000868089497e-06
542,7.899998308857903e-06,7.470000127796084e-06
543,7.799997547408566e-06,8.150000212481245e-06
544,8.37999687064439e-06,6.250000296859071e-06
545,6.7300024966243654e-06,6.760001269867644e-06
546,7.210001058410853e-06,6.7399996623862535e-06
547,7.460002962034196e-06,7.390000973828137e-06
548,8.290000550914556e-06,7.239999831654131e-06
549,7.530001312261447e-06,7.97999746282585e-06
550,7.970000297063962e-06,7.499998901039362e-06
551,8.33000012789853e-06,8.420000085607171e-06
552,8.859999070409685e-06,7.340000593103468e-06
553,7.719998393440619e-06,7.700000423938036e-06
554,7.919999916339293e-06,7.829999958630651e-06
555,8.56999758980237e-06,7.85999873187393e-06
556,9.069997759070247e-06,7.99999907030724e-06
557,8.600000001024455e-06,8.679999154992402e-06
558,8.679999154992402e-06,8.61000080476515e-06
559,8.719998731976375e-06,9.120001777773723e-06
560,8.880000677891076e-06,6.9499983510468155e-06
561,7.980001100804657e-06,8.150000212481245e-06
562,7.919999916339293e-06,7.139999070204794e-06
563,7.3500013968441635e-06,7.299997378140688e-06
564,8.769999112701043e-06,7.43000055081211e-06
565,8.580002031521872e-06,8.479997632093728e-06
566,7.929997082101181e-06,8.380000508623198e-06
567,7.589998858748004e-06,7.539998478023335e-06
568,8.110000635497272e-06,6.710000889142975e-06
